,LSRCa,LSRCb,LSRCc,L650a,L650b,L650c,LREGa,LREGb,LREGc,L633a,L633b,L633c,L634a,L634b,L634c,L671a,L671b,L671c,L645b,L645c,L646b,L646c,L692a,L692b,L692c,L675a,L675b,L675c,L611c,L652a,L670a,L670b,L670c,L632a,L632b,L632c,L680a,L680b,L680c,L684a,L684c
00:00.3,0,0,0,0,0,0,0,0,0,48.605,16.648,23.53,20.04,5.011,19.415,9.107,8.537,8.61,4.474,2.704,0.543,1.312,0,0,0,4.474,5.19,72,27.206,8.32,2.853,1.67,2.348,10.842,6.078,1.523,7.352,5.359,6.145,3.995,3.782
00:00.3,0,0,0,0,0,0,0,0,0,40.996,8.682,10.36,10.4,6.411,16.146,9.122,9.29,7.377,5.195,2.32,0.742,1.816,0,0,0,5.195,8.456,39.22,25.673,8.908,3.154,1.041,3.889,6.423,7.277,1.667,5.907,7.881,4.225,5.516,3.946
00:00.3,0,0,0,0,0,0,0,0,0,23.68,10.894,6.409,4.2,6.98,13.076,9.32,8.289,6.409,8.862,2.967,0.778,1.686,0,0,0,8.862,7.741,34.7,16.136,8.962,2.856,1.1,4.471,5.668,7.143,1.559,4.974,8.338,5.909,4.33,3.893
00:00.3,0,0,0,0,0,0,0,0,0,22.531,10.316,7.499,5.84,6.712,11.951,9.796,6.463,7.123,5.928,2.619,0.658,1.781,0,0,0,5.928,5.024,33.74,13.911,8.548,3.136,2.022,6.955,5.899,10.775,1.624,4.011,6.374,3.987,4.599,5.75
00:00.3,0,0,0,0,0,0,0,0,0,22.297,7.187,5.284,4.76,6.781,10.216,10.361,7.731,6.921,5.326,2.538,0.569,4.894,0,0,0,5.326,3.593,38.16,14.39,8.531,2.796,1.793,6.759,5.712,10.12,1.578,3.131,7.402,4.092,5.431,5.785
00:00.3,0,0,0,0,0,0,0,0,0,22.009,7.138,5.936,4.64,6.288,13.033,10.799,10.937,5.372,3.756,2.669,0.748,5.329,0,0,0,3.756,4.477,31.98,14.279,12.544,2.601,1.336,6.378,5.729,9.653,1.726,3.092,5.525,3.375,5.199,5.407
00:00.3,0,0,0,0,0,0,0,0,0,22.418,7.376,4.964,5,5.576,15.232,10.653,11.959,4.421,2.817,2.921,0.704,1.636,0,0,0,2.817,3.576,32.7,14.103,12.82,2.134,1.976,5.62,5.833,5.825,1.673,2.771,5.261,3.516,3.438,3.441
00:00.3,0,0,0,0,0,0,0,0,0,22.889,7.799,4.866,5.24,4.993,15.722,9.942,7.247,5.58,1.595,2.709,0.601,0.875,0,0,0,1.595,2.562,31.9,14.501,11.269,2.221,1.044,3.326,5.86,5.808,1.75,2.488,4.661,3.122,3.984,2.38
00:00.4,0,0,0,0,0,0,0,0,0,22.466,8.295,5.182,4.84,4.37,15.917,9.521,7.087,5.152,1.387,3.338,0.526,0.892,0,0,0,1.387,2.255,32.1,14.622,10.845,2.153,0.876,2.585,5.848,3.234,1.622,2.286,4.554,3.149,3.622,2.426
00:00.4,0,0,0,0,0,0,0,0,0,22.703,8.522,4.965,5.12,4.717,15.476,9.091,7.881,4.622,1.564,2.678,0.373,0.864,0,0,0,1.564,2.401,32.38,13.202,10.731,2.09,0.902,2.706,5.9,3.278,1.227,2.393,4.56,3.219,3.596,2.786
00:00.4,0,0,0,0,0,0,0,0,0,22.357,8.202,4.911,5.32,4.654,16.064,9.413,9.035,4.694,1.765,2.814,0.639,0.881,0,0,0,1.765,2.815,32.22,12.695,11.204,2.365,1.293,2.58,6,3.079,1.258,2.53,3.954,3.579,3.58,2.261
00:00.4,0,0,0,0,0,0,0,0,0,21.59,8.118,5.829,5,4.592,16.209,9.064,6.519,4.07,1.578,2.73,0.448,0.831,0,0,0,1.578,3.133,33.66,14.17,10.677,2.309,0.736,2.775,5.956,3.531,1.235,2.344,3.283,3.102,3.655,2.416
00:00.4,0,0,0,0,0,0,0,0,0,21.1,8.218,4.924,4.96,4.714,16.033,8.698,8.763,5.561,1.673,2.785,0.472,0.757,0,0,0,1.673,5.415,31.98,14.928,10.573,2.269,0.743,3.161,6.232,3.417,1.259,2.425,3.714,3.162,3.624,2.514
00:00.4,0,0,0,0,0,0,0,0,0,20.772,7.964,4.914,5.64,4.829,15.879,9.603,9.705,4.457,2.343,2.845,0.501,0.931,0,0,0,2.343,2.348,32.26,14.561,10.628,2.355,0.739,2.826,6.114,5.744,1.371,3.338,5.459,4.403,4.101,2.564
00:00.4,0,0,0,0,0,0,0,0,0,21.03,8.607,7.883,5.96,5.861,17.619,10.299,8.674,4.506,4.319,2.814,0.704,0.96,0,0,0,4.319,5.069,35.92,18.029,11.077,2.396,0.912,3.03,6.036,3.042,1.218,3.199,5.051,3.819,4.842,2.863
00:00.4,0,0,0,0,0,0,0,0,0,29.218,10.863,24.82,12.8,8.104,18.561,9.899,10.416,6.086,3.844,2.655,0.617,1.111,0,0,0,3.844,2.98,101.2,27.934,13.567,2.296,1.692,3.542,6.91,3.814,1.247,3.261,4.561,4.103,4.418,3.863
00:00.4,0,0,0,0,0,0,0,0,0,37.344,16.898,25.823,16.84,5.88,20.942,10.321,6.717,7.349,3.027,3.397,0.554,0.756,0,0,0,3.027,2.131,110.84,27.352,15.155,2.58,0.824,4.683,12.203,3.806,1.244,2.823,3.61,7.214,4.419,4.789
00:00.4,0,0,0,0,0,0,0,0,0,50.247,19.541,24.488,17,4.542,25.108,10.31,8.376,7.639,3.61,2.873,0.456,0.637,0,0,0,3.61,1.936,121.98,26.332,16.178,2.805,0.94,3.62,11.809,3.702,1.35,3.047,3.387,8.537,4.163,2.832
00:00.4,0,0,0,0,0,0,0,0,0,49.363,18.642,23.458,16.6,4.456,25.876,18.362,10.624,6.982,4.789,5.13,0.504,0.695,0,0,0,4.789,3.353,122.72,25.611,14.166,1.715,1.461,2.776,12.126,3.295,1.359,2.558,5.257,6.084,4.725,2.37
00:00.4,0,0,0,0,0,0,0,0,0,49.101,17.372,34.766,15.72,6.373,25.388,19.776,6.556,7.825,4.52,5.618,0.46,0.685,0,0,0,4.52,3.016,120.32,24.107,9.991,2.136,1.28,2.267,11.469,3.174,3.451,2.945,4.124,5.259,3.515,2.843
00:00.4,0,0,0,0,0,0,0,0,0,49.179,15.493,29.676,15.68,5.996,23.919,19.763,10.775,7.323,6.82,3.559,1.371,0.607,0,0,0,6.82,2.484,103.24,24.251,8.81,1.814,0.945,2.741,12.847,3.202,1.511,2.437,5.939,4.342,3.414,1.998
00:00.4,0,0,0,0,0,0,0,0,0,51.875,17.224,32.669,12.56,4.491,23.046,18.68,5.633,6.428,5.999,3.814,1.763,0.542,0,0,0,5.999,4.095,113.28,26.131,7.318,1.856,0.584,2.359,12.278,2.808,1.637,2.373,3.562,3.402,3.356,2.065
00:00.4,0,0,0,0,0,0,0,0,0,53.458,17.687,29.275,11.36,4.603,22.234,17.177,5.55,9.195,5.071,4.527,0.515,0.641,0,0,0,5.071,6.364,132.32,23.458,8.737,2.463,0.898,2.217,13.239,3.845,1.394,2.73,4.491,3.512,3.43,2.033
00:00.4,0,0,0,0,0,0,0,0,0,52.469,18.114,25.468,14.04,6.04,18.29,16.279,5.69,9.22,10.558,4.455,0.71,0.774,0,0,0,10.558,6.53,120.9,25.667,13.333,2.512,0.695,2.232,13.974,3.433,1.593,3.094,5.497,3.607,3.781,3.155
00:00.4,0,0,0,0,0,0,0,0,0,44.68,16.048,24.094,9.08,5.757,16.186,24.446,6.329,11.025,7.141,5.06,0.716,1.398,0,0,0,7.141,6.696,102.68,26.177,8.941,2.952,0.844,3.29,13.633,4.438,1.744,3.549,5.403,3.995,3.551,2.243
00:00.4,0,0,0,0,0,0,0,0,0,37.711,13.1,7.667,9.48,8.361,15.349,27.96,8.025,10.768,7.154,3.652,1.395,1.306,0,0,0,7.154,5.402,44.22,21.772,9.19,3.381,1.01,4.39,9.33,7.023,1.755,5.129,6.411,4.412,3.244,2.649
